,Year,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,Monthly Growth Rate (%),Annual Growth Rate (%)
Spices,0.9185728398249974,0.9824242973212987,0.9276066347452554,0.9139954195671798,0.9611458811846951,0.830036043649331,0.9110923673729202,0.6389501114149091,0.7981004676701905,0.7458969093835824,1.0,0.9555304268322173,0.9527725507153868,0.9678945391702812,0.9074075582475747,0.9621140593156585,0.9727275743810224,0.9638329378118029,0.953336153338049,0.9535559978895347,0.9490499581939184,0.9415063984796959,0.9479183409159164,0.925813602961895,0.9620215576823049,0.9541890581471356,-0.013754782295936269,
Non-alcoholic beverages,0.9627618696194407,0.9457281860096497,0.981829162627211,0.9662162420211485,0.9662841209582393,0.9436823963368205,0.9289272094292266,0.6191746695451777,0.7516644423277001,0.7559040663555097,0.9555304268322173,1.0,0.9772414709852884,0.9778842433615592,0.9622316215534451,0.9793331173464156,0.9813830308685195,0.979971869889891,0.9851838210724874,0.9793857156059397,0.9852677508893459,0.9894060420642968,0.987484867562699,0.9575491841567434,0.9845882007019198,0.9901607767582693,-0.004062952131864811,
"Prepared meals, snacks, sweets etc.",0.9878842948508275,0.9706679480442523,0.9654416792303586,0.9496493161036391,0.9953172441968118,0.8773024147042894,0.9587285740293967,0.6268873736575293,0.7331772433371092,0.7953924093021769,0.9527725507153868,0.9772414709852884,1.0,0.9808296471171747,0.9843400564953527,0.9980326831198503,0.9904238796652822,0.9974036531019483,0.9850363428836371,0.9978068141103593,0.9893223147665862,0.9549756139495257,0.9918973030201649,0.9910524382957232,0.9786127750243083,0.9882882657370187,-0.029074607566662244,
Food and beverages,0.9611081697296103,0.9684670470040938,0.973815298693179,0.9577318508765401,0.9824216173259379,0.8828828085138573,0.9440942658215673,0.738294172969961,0.7755701128126338,0.7744543271887847,0.9678945391702812,0.9778842433615592,0.9808296471171747,1.0,0.9652621190484587,0.980564222325161,0.9787656832541114,0.9806324626221682,0.9702969298102887,0.9805246856020075,0.9804280234168475,0.9652445650510137,0.9824886888668501,0.971340530244165,0.9828782317849434,0.9839120054751989,0.029289751021746396,
"Pan, tobacco and intoxicants",0.9925042061813888,0.932852151185566,0.9750540693950648,0.9577660304593361,0.9750922223719064,0.8797065940681162,0.9392258614345608,0.6356073052440201,0.6999709325207869,0.7841606424654279,0.9074075582475747,0.9622316215534451,0.9843400564953527,0.9652621190484587,1.0,0.9733953627758204,0.9565941004010979,0.9715489873230948,0.9594739234690923,0.9824144858739476,0.984302349547611,0.9437573882781052,0.985815850650853,0.9912040128567549,0.9715260277059014,0.980638029557812,-0.01243196939877963,
Clothing,0.9803515898876729,0.9768256233432799,0.9607269452737042,0.9449794084690496,0.993433595751269,0.8802488213373729,0.9564493056516261,0.6212710524750695,0.730185811000279,0.7931206318448151,0.9621140593156585,0.9793331173464156,0.9980326831198503,0.980564222325161,0.9733953627758204,1.0,0.9967401098061572,0.9999404681850571,0.9904695128269583,0.997328715580928,0.9875898939077798,0.9600484256673802,0.9903292908253902,0.9837000190314658,0.9790932399934056,0.9880625139127029,-0.025978729670604283,
Footwear,0.9672382075029052,0.9801863550936659,0.9573891297992877,0.9380998361413226,0.9864097226753277,0.8873617447601471,0.9457744720246052,0.6150458075235679,0.7335304509981813,0.7794674674501881,0.9727275743810224,0.9813830308685195,0.9904238796652822,0.9787656832541114,0.9565941004010979,0.9967401098061572,1.0,0.9975437660311567,0.992611169220575,0.9919735348263424,0.9832820319098347,0.9670073831297221,0.9859569719938853,0.9697466335768017,0.9793765637261982,0.9859207679021041,-0.016063737332509667,
Clothing and footwear,0.9789953124041533,0.9775881096159069,0.9606537923124343,0.944385601409355,0.9928590210919698,0.8816052535047091,0.9553800530953661,0.6203332843888096,0.7309295762560516,0.7917515440627424,0.9638329378118029,0.979971869889891,0.9974036531019483,0.9806324626221682,0.9715489873230948,0.9999404681850571,0.9975437660311567,1.0,0.9911444278766097,0.9969862947402901,0.98738010975255,0.9613077798037307,0.9901266931111198,0.9822168629514338,0.979458314497415,0.9881336845267822,-0.02474177250282663,
Fuel and light,0.9680545926123134,0.961059156615851,0.9627393184284062,0.9463084758754872,0.9734180294951387,0.9142524954067605,0.9361563291054728,0.6029706071961464,0.6944182930215795,0.7712226323363378,0.953336153338049,0.9851838210724874,0.9850363428836371,0.9702969298102887,0.9594739234690923,0.9904695128269583,0.992611169220575,0.9911444278766097,1.0,0.9891078533269662,0.9857982562521327,0.9770266398603705,0.9880729954047366,0.9671548079934575,0.9784688392914197,0.9885391416868385,-0.013460538637664408,
Household goods and services,0.9879523789347457,0.9720339134731139,0.9690104444903105,0.9517506319160204,0.9907902990250214,0.8828640109915601,0.949425598552668,0.632629952194253,0.7134924895098101,0.7853702828304173,0.9535559978895347,0.9793857156059397,0.9978068141103593,0.9805246856020075,0.9824144858739476,0.997328715580928,0.9919735348263424,0.9969862947402901,0.9891078533269662,1.0,0.9948221709532318,0.9632011742961949,0.9957242751158012,0.991792942666599,0.9841079658877666,0.9933387763444846,-0.018617375922031665,
Health,0.9874366508590567,0.9623032859660969,0.983724322135312,0.96549761395359,0.9797067464908447,0.9036931082102454,0.9347134542404022,0.6413342845264596,0.7062572704805463,0.7703725564945526,0.9490499581939184,0.9852677508893459,0.9893223147665862,0.9804280234168475,0.984302349547611,0.9875898939077798,0.9832820319098347,0.98738010975255,0.9857982562521327,0.9948221709532318,1.0,0.977360070577099,0.9989163717157268,0.9873604519601863,0.992734028618002,0.9986912963944994,-0.0033203195035197905,
Transport and communication,0.9464077562560679,0.935694205946438,0.9807480890819438,0.9597829688141795,0.9436159074916176,0.9519602652644096,0.9040912928940676,0.6262294641370698,0.6928321056347491,0.740330800144064,0.9415063984796959,0.9894060420642968,0.9549756139495257,0.9652445650510137,0.9437573882781052,0.9600484256673802,0.9670073831297221,0.9613077798037307,0.9770266398603705,0.9632011742961949,0.977360070577099,1.0,0.9780738068029484,0.9372173791797995,0.9839678705765437,0.9852883587590417,0.026913609709301275,
Recreation and amusement,0.9883113890718246,0.9613287647498729,0.9852146501053652,0.9638673727531868,0.9827588719564008,0.9108924171869335,0.9410275712316062,0.6402793385359523,0.7126284979830224,0.7744459094620056,0.9479183409159164,0.987484867562699,0.9918973030201649,0.9824886888668501,0.985815850650853,0.9903292908253902,0.9859569719938853,0.9901266931111198,0.9880729954047366,0.9957242751158012,0.9989163717157268,0.9780738068029484,1.0,0.9875357276091179,0.9912334641342481,0.9986077327579017,-0.0010535961606509402,
Education,0.9909704285177946,0.9551333310413498,0.9619823697561269,0.9441242383367568,0.9845357261559331,0.84995094853345,0.9465828797350213,0.6566495925860574,0.6957607617173865,0.7836257334656266,0.925813602961895,0.9575491841567434,0.9910524382957232,0.971340530244165,0.9912040128567549,0.9837000190314658,0.9697466335768017,0.9822168629514338,0.9671548079934575,0.991792942666599,0.9873604519601863,0.9372173791797995,0.9875357276091179,1.0,0.9707627544506678,0.9820675744867455,-0.016694609168342162,
Personal care and effects,0.9744812192078879,0.9685592285819631,0.9853782890851738,0.9667851449765322,0.9740113481009437,0.9032027682216417,0.9242710011217118,0.6534209275442784,0.7192325159858908,0.778330756413854,0.9620215576823049,0.9845882007019198,0.9786127750243083,0.9828782317849434,0.9715260277059014,0.9790932399934056,0.9793765637261982,0.979458314497415,0.9784688392914197,0.9841079658877666,0.992734028618002,0.9839678705765437,0.9912334641342481,0.9707627544506678,1.0,0.9955641768476694,0.013917502411100291,
Miscellaneous,0.9834621855133697,0.9643963635219288,0.9866727888802789,0.9674493728636208,0.9797937220985043,0.9145001760074488,0.9368666377243177,0.6457717571306066,0.7102339463186965,0.7744287979705627,0.9541890581471356,0.9901607767582693,0.9882882657370187,0.9839120054751989,0.980638029557812,0.9880625139127029,0.9859207679021041,0.9881336845267822,0.9885391416868385,0.9933387763444846,0.9986912963944994,0.9852883587590417,0.9986077327579017,0.9820675744867455,0.9955641768476694,1.0,0.004140618753262206,
Monthly Growth Rate (%),-0.030784402951475432,-0.02173883376503823,0.053569633824679073,-0.059110448845149016,-0.03461529859902877,0.020375124558471253,0.060038542966803235,0.19826635692664227,-0.04912174314569834,-0.009002874555599906,-0.013754782295936269,-0.004062952131864811,-0.029074607566662244,0.029289751021746396,-0.01243196939877963,-0.025978729670604283,-0.016063737332509667,-0.02474177250282663,-0.013460538637664408,-0.018617375922031665,-0.0033203195035197905,0.026913609709301275,-0.0010535961606509402,-0.016694609168342162,0.013917502411100291,0.004140618753262206,1.0,
Annual Growth Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
