,Year,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,Monthly Growth Rate (%),Annual Growth Rate (%)
Spices,0.9218457469881387,0.9812230091084463,0.930775472741567,0.9181929193944277,0.9595691498725684,0.8233246637572349,0.8825496423816188,0.5847079240529204,0.8174097389101079,0.747283848840321,1.0,0.9544391007221104,0.9394080001476605,0.9672356940988753,0.9105053274599973,0.9572962326702054,0.9659124086976649,0.9586630396793626,0.9454177106873961,0.9439776189374681,0.9453954005129899,0.9498016281090604,0.931137487760167,0.9113839780087774,0.9660859631576885,0.9517264734655948,0.0021858828876693717,
Non-alcoholic beverages,0.9662855838093725,0.9363303479778688,0.9827884540972615,0.9693139012639089,0.9652110370751011,0.9368928427866987,0.8997603860744173,0.5554939074491647,0.7898640424138879,0.7504777461924194,0.9544391007221104,1.0,0.96898648289054,0.9751196345153581,0.9655526477015361,0.9748428277824033,0.9813601429308162,0.9759739805591686,0.9758525901620526,0.971386144300187,0.9823542591699969,0.9907051371329718,0.9759107772660559,0.9528778029078403,0.9844755840738805,0.9868570796135216,-0.0035473575562185266,
"Prepared meals, snacks, sweets etc.",0.9866418929785323,0.9611533580135706,0.9595887950237869,0.9432501665698854,0.9932127073157545,0.8518845511087514,0.947041378278539,0.580763869025041,0.7740403356911532,0.7973435663488561,0.9394080001476605,0.96898648289054,1.0,0.9769653306579468,0.9845355316121297,0.9959672342201582,0.989245295624575,0.9953520675512064,0.990968873594402,0.996404262561791,0.9839872357604562,0.9545210654536542,0.9880514382346303,0.9859708747486281,0.9714033959904704,0.9836902893220588,-0.035593905103726425,
Food and beverages,0.962916026833207,0.9665071793148706,0.9706532275407046,0.9576104978362164,0.9854088207924351,0.8654743755195373,0.9260422449009954,0.6913786777528931,0.8172202531061942,0.7757230592158203,0.9672356940988753,0.9751196345153581,0.9769653306579468,1.0,0.9668814804430863,0.9797194599883748,0.979861395633878,0.9799959869363761,0.9706598096295942,0.9757727786078257,0.9767216406583035,0.9686376889593078,0.9738284569720349,0.9630397837839633,0.9809238692453855,0.980583771229036,0.029700606976146578,
"Pan, tobacco and intoxicants",0.9929831271272412,0.9264656972343871,0.9792733552625991,0.9586518956473203,0.9738401064507113,0.8698341794018843,0.9099439512370627,0.5968172477330514,0.7430105243458109,0.7742716184504455,0.9105053274599973,0.9655526477015361,0.9845355316121297,0.9668814804430863,1.0,0.9705587736706242,0.9633979251970158,0.9698916370625266,0.9706602842479567,0.9850117604694663,0.989088091129112,0.9619984363742543,0.9946689060302562,0.9924121208016788,0.9750522040641494,0.9873347982370592,-0.015816793765325538,
Clothing,0.976933551701404,0.9729467209892239,0.9555454185186957,0.9405857069979273,0.9931620599253451,0.860762988414358,0.9476623386613046,0.5698858143813379,0.7801536193309643,0.7985862705925533,0.9572962326702054,0.9748428277824033,0.9959672342201582,0.9797194599883748,0.9705587736706242,1.0,0.9976227606316984,0.999955241645322,0.9942718596955957,0.9932444790980179,0.9800966888324062,0.9608485511704163,0.9803919664243703,0.9725009758366674,0.9743735626341855,0.9822205068470284,-0.029101734132112946,
Footwear,0.9720357616141038,0.9736702321018786,0.9600774838592212,0.942157031930009,0.9882287901907528,0.8782303050367335,0.9348199312339223,0.5618237371421188,0.7767038245086558,0.7864114257680318,0.9659124086976649,0.9813601429308162,0.989245295624575,0.979861395633878,0.9633979251970158,0.9976227606316984,1.0,0.9982172301898131,0.9941080963883665,0.9895507668405445,0.9808124424578141,0.9708782982314551,0.9777657797704813,0.9646333191357359,0.979162816823784,0.9841843576812341,-0.016834017174555693,
Clothing and footwear,0.9765952339877306,0.9733030684017796,0.9564313304529953,0.9410885431622814,0.9927806053836181,0.863343424587882,0.9460745808941718,0.568942282087876,0.7798748822416536,0.7971798704218779,0.9586630396793626,0.9759739805591686,0.9953520675512064,0.9799959869363761,0.9698916370625266,0.999955241645322,0.9982172301898131,1.0,0.994513508105284,0.9930462621260471,0.9804852717700183,0.9624569525324389,0.9803406631185896,0.9717546630625924,0.9752910836212605,0.9827712909208444,-0.027678774409597852,
Fuel and light,0.9778949235857439,0.9584477666391484,0.9579052666489867,0.9429763444492884,0.9810203707399792,0.877822937395457,0.931650157299924,0.5570837809380789,0.7396046773340001,0.786430098472468,0.9454177106873961,0.9758525901620526,0.990968873594402,0.9706598096295942,0.9706602842479567,0.9942718596955957,0.9941080963883665,0.994513508105284,1.0,0.992893363032434,0.9837592087300097,0.96752181038584,0.9843055070264695,0.9746186589310764,0.9737205707649815,0.9852825353055575,-0.02834226195006196,
Household goods and services,0.9894569141841332,0.9633402222909225,0.9649790121499583,0.9449082814573829,0.9892119568780514,0.8535566067914119,0.9273484013396397,0.5835300053640484,0.7496666440995278,0.7850245944155725,0.9439776189374681,0.971386144300187,0.996404262561791,0.9757727786078257,0.9850117604694663,0.9932444790980179,0.9895507668405445,0.9930462621260471,0.992893363032434,1.0,0.992276328610458,0.9633234362100717,0.993661236410769,0.9913781712084686,0.978561693735771,0.9908852915618954,-0.027646037902640322,
Health,0.9909237789149276,0.9501512170504446,0.9852838834402244,0.9633066454460245,0.9783046283204997,0.8864930592545623,0.8991339428659262,0.5891729690320797,0.7450412480824814,0.7622996198096482,0.9453954005129899,0.9823542591699969,0.9839872357604562,0.9767216406583035,0.989088091129112,0.9800966888324062,0.9808124424578141,0.9804852717700183,0.9837592087300097,0.992276328610458,1.0,0.9827733622105258,0.9977046015002807,0.9890836819246946,0.9905906733258562,0.9989549248062284,-0.00899793200294934,
Transport and communication,0.9638887751643324,0.9340153689360438,0.987130828603622,0.9677547157156129,0.9541454595506912,0.9348023268266504,0.8740554689769714,0.5701189516225974,0.7350742335633204,0.7419794034945875,0.9498016281090604,0.9907051371329718,0.9545210654536542,0.9686376889593078,0.9619984363742543,0.9608485511704163,0.9708782982314551,0.9624569525324389,0.96752181038584,0.9633234362100717,0.9827733622105258,1.0,0.9746146962803663,0.9491422165516451,0.9903354194800816,0.9885701056773001,0.018760812898658868,
Recreation and amusement,0.994494758199688,0.9432204913629264,0.9820336618477458,0.9588779794365913,0.9785798643478677,0.8789793484599665,0.9078407655116266,0.5933334518432523,0.7384649617266817,0.7748564046519518,0.931137487760167,0.9759107772660559,0.9880514382346303,0.9738284569720349,0.9946689060302562,0.9803919664243703,0.9777657797704813,0.9803406631185896,0.9843055070264695,0.993661236410769,0.9977046015002807,0.9746146962803663,1.0,0.9947362254966216,0.9845515847386451,0.996229338691489,-0.009854844242623223,
Education,0.9911184524520615,0.9364061700822667,0.96425255396932,0.9405614963811693,0.9747189364346646,0.8340580682079192,0.9075335280991168,0.6093875770672942,0.7224991295720922,0.7758746422531764,0.9113839780087774,0.9528778029078403,0.9859708747486281,0.9630397837839633,0.9924121208016788,0.9725009758366674,0.9646333191357359,0.9717546630625924,0.9746186589310764,0.9913781712084686,0.9890836819246946,0.9491422165516451,0.9947362254966216,1.0,0.9676042773831778,0.9845937417133416,-0.018708063466818026,
Personal care and effects,0.9776588102876833,0.960905974472564,0.9852669103582805,0.9665633534137713,0.9745547247496104,0.8920523800972165,0.8905798946648201,0.592783832627375,0.7608851545525576,0.7761970158669038,0.9660859631576885,0.9844755840738805,0.9714033959904704,0.9809238692453855,0.9750522040641494,0.9743735626341855,0.979162816823784,0.9752910836212605,0.9737205707649815,0.978561693735771,0.9905906733258562,0.9903354194800816,0.9845515847386451,0.9676042773831778,1.0,0.994656178765525,0.011937329898645769,
Miscellaneous,0.9892241838711335,0.9544022523736561,0.9876338240624989,0.966677422943783,0.9797520065121395,0.8953220303995225,0.9031006183219009,0.5911399303908418,0.7479094643393763,0.7705165655635821,0.9517264734655948,0.9868570796135216,0.9836902893220588,0.980583771229036,0.9873347982370592,0.9822205068470284,0.9841843576812341,0.9827712909208444,0.9852825353055575,0.9908852915618954,0.9989549248062284,0.9885701056773001,0.996229338691489,0.9845937417133416,0.994656178765525,1.0,-0.0015499305704588279,
Monthly Growth Rate (%),-0.04543991092106081,-0.02356780342102478,0.05133583734399276,-0.0522728093864313,-0.033260613033647336,0.021213530506804436,0.01686708842112426,0.21436983436719667,-0.031237279998900556,-0.008622692013634942,0.0021858828876693717,-0.0035473575562185266,-0.035593905103726425,0.029700606976146578,-0.015816793765325538,-0.029101734132112946,-0.016834017174555693,-0.027678774409597852,-0.02834226195006196,-0.027646037902640322,-0.00899793200294934,0.018760812898658868,-0.009854844242623223,-0.018708063466818026,0.011937329898645769,-0.0015499305704588279,1.0,
Annual Growth Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
